id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,_source_file,motif_rejet
2023-1339237,2023-11-30,000002,Echange,287000.0,3,,PL DU TERTRE,9217,75018,75118,Paris 18e Arrondissement,75,,,75118000BN0050,,,10,,,,,,,,,,1,2,Appartement,15,1,,,,,,2.34111,48.886362,dvf_2023_75.csv,"nature_mutation != Vente (['Echange', 'Adjudication', ""Vente en l'état futur d'achèvement"", 'Vente terrain à bâtir', 'Expropriation'])"
2022-1688381,2022-12-23,000002,Echange,70000.0,67,,RUE BRANCION,1255,75015,75115,Paris 15e Arrondissement,75,,,75115000AJ0028,,,112,,48,,,,,,,,2,2,Appartement,15,1,,,,,,2.303568,48.83241,dvf_2022_75.csv,"nature_mutation != Vente (['Echange', 'Adjudication', ""Vente en l'état futur d'achèvement"", 'Vente terrain à bâtir', 'Expropriation'])"
2023-1325186,2023-03-14,000002,Echange,1000.0,34,,RUE DE TURIN,9510,75008,75108,Paris 8e Arrondissement,75,,,75108000CD0042,,,35,,,,,,,,,,1,2,Appartement,15,1,,,,,,2.324673,48.882291,dvf_2023_75.csv,"nature_mutation != Vente (['Echange', 'Adjudication', ""Vente en l'état futur d'achèvement"", 'Vente terrain à bâtir', 'Expropriation'])"
2022-1646059,2022-02-08,000001,Adjudication,136000.0,46,,RUE DU CHATEAU D EAU,1916,75010,75110,Paris 10e Arrondissement,75,,,75110000AZ0052,,,12,,,,,,,,,,1,2,Appartement,15,1,,,,,,2.358888,48.871153,dvf_2022_75.csv,"nature_mutation != Vente (['Echange', 'Adjudication', ""Vente en l'état futur d'achèvement"", 'Vente terrain à bâtir', 'Expropriation'])"
2022-1667312,2022-02-17,000002,Echange,5000.0,18,,RUE SAINT CHARLES,8513,75015,75115,Paris 15e Arrondissement,75,,,75115000DK0011,,,16,,,,,,,,,,1,2,Appartement,15,1,,,,,,2.289154,48.851108,dvf_2022_75.csv,"nature_mutation != Vente (['Echange', 'Adjudication', ""Vente en l'état futur d'achèvement"", 'Vente terrain à bâtir', 'Expropriation'])"
2022-1688227,2022-12-23,000002,Echange,70000.0,67,,RUE BRANCION,1255,75015,75115,Paris 15e Arrondissement,75,,,75115000AJ0028,,,112,,48,,,,,,,,2,2,Appartement,15,1,,,,,,2.303568,48.83241,dvf_2022_75.csv,"nature_mutation != Vente (['Echange', 'Adjudication', ""Vente en l'état futur d'achèvement"", 'Vente terrain à bâtir', 'Expropriation'])"
2022-1664081,2022-11-03,000001,Adjudication,80000.0,10,,RUE DE TERRE NEUVE,9212,75020,75120,Paris 20e Arrondissement,75,,,75120000DR0190,,,40,,42,,43,,44,,6,,5,2,Appartement,14,1,,,,,,2.397423,48.854063,dvf_2022_75.csv,"nature_mutation != Vente (['Echange', 'Adjudication', ""Vente en l'état futur d'achèvement"", 'Vente terrain à bâtir', 'Expropriation'])"
2022-1685943,2022-11-25,000001,Echange,70000.0,2,,BD BEAUMARCHAIS,0783,75011,75111,Paris 11e Arrondissement,75,,,75111000CB0031,,,30,,,,,,,,,,1,2,Appartement,14,1,,,,,,2.369174,48.854436,dvf_2022_75.csv,"nature_mutation != Vente (['Echange', 'Adjudication', ""Vente en l'état futur d'achèvement"", 'Vente terrain à bâtir', 'Expropriation'])"
2022-1660619,2022-01-13,000001,Adjudication,153000.0,5,,RUE DE LA FIDELITE,3638,75010,75110,Paris 10e Arrondissement,75,,,75110000AQ0053,,,107,,,,,,,,,,1,2,Appartement,14,2,,,,,,2.356259,48.874225,dvf_2022_75.csv,"nature_mutation != Vente (['Echange', 'Adjudication', ""Vente en l'état futur d'achèvement"", 'Vente terrain à bâtir', 'Expropriation'])"
2022-1654292,2022-02-17,000001,Adjudication,170000.0,24,,RUE JEAN-BAPTISTE PIGALLE,7484,75009,75109,Paris 9e Arrondissement,75,,,75109000AI0040,,,21,,,,,,,,,,1,2,Appartement,13,1,,,,,,2.333754,48.879083,dvf_2022_75.csv,"nature_mutation != Vente (['Echange', 'Adjudication', ""Vente en l'état futur d'achèvement"", 'Vente terrain à bâtir', 'Expropriation'])"
2022-1673854,2022-06-09,000001,Echange,125350.0,9,,RUE GUILLAUME BERTRAND,4390,75011,75111,Paris 11e Arrondissement,75,,,75111000AS0014,,,48,,,,,,,,,,1,2,Appartement,13,1,,,,,,2.380316,48.863715,dvf_2022_75.csv,"nature_mutation != Vente (['Echange', 'Adjudication', ""Vente en l'état futur d'achèvement"", 'Vente terrain à bâtir', 'Expropriation'])"
2022-1676714,2022-02-10,000001,Adjudication,85000.0,4,,AV DE LA REPUBLIQUE,8158,75011,75111,Paris 11e Arrondissement,75,,,75111000AA0054,,,22,,,,,,,,,,1,2,Appartement,13,1,,,,,,2.366113,48.866632,dvf_2022_75.csv,"nature_mutation != Vente (['Echange', 'Adjudication', ""Vente en l'état futur d'achèvement"", 'Vente terrain à bâtir', 'Expropriation'])"
2022-1644418,2022-02-24,000001,Echange,6000.0,4,,RUE BASTE,0709,75019,75119,Paris 19e Arrondissement,75,,,75119000ES0043,,,21,,,,,,,,,,1,2,Appartement,13,1,,,,,,2.374354,48.881119,dvf_2022_75.csv,"nature_mutation != Vente (['Echange', 'Adjudication', ""Vente en l'état futur d'achèvement"", 'Vente terrain à bâtir', 'Expropriation'])"
2022-1677218,2022-01-20,000001,Adjudication,77000.0,2,,PAS DE LA FONDERIE,3709,75011,75111,Paris 11e Arrondissement,75,,,75111000AL0022,,,208,,257,,,,,,,,2,2,Appartement,12,1,,,,,,2.375663,48.866812,dvf_2022_75.csv,"nature_mutation != Vente (['Echange', 'Adjudication', ""Vente en l'état futur d'achèvement"", 'Vente terrain à bâtir', 'Expropriation'])"
2022-1682904,2022-09-27,000001,Echange,50000.0,121,,RUE DE SEVRES,8955,75006,75106,Paris 6e Arrondissement,75,,,75106000BC0056,,,200,,201,,202,,,,,,3,2,Appartement,12,1,,,,,,2.319411,48.847514,dvf_2022_75.csv,"nature_mutation != Vente (['Echange', 'Adjudication', ""Vente en l'état futur d'achèvement"", 'Vente terrain à bâtir', 'Expropriation'])"
2022-1656968,2022-04-21,000001,Adjudication,28000.0,22,,RUE PERDONNET,7252,75010,75110,Paris 10e Arrondissement,75,,,75110000AE0016,,,1024,,,,,,,,,,1,2,Appartement,12,1,,,,,,2.361145,48.883645,dvf_2022_75.csv,"nature_mutation != Vente (['Echange', 'Adjudication', ""Vente en l'état futur d'achèvement"", 'Vente terrain à bâtir', 'Expropriation'])"
2023-1333147,2023-02-16,000001,Adjudication,54000.0,20,,COUR DES PETITES ECURIES,7328,75010,75110,Paris 10e Arrondissement,75,,,75110000AU0032,,,21,,,,,,,,,,1,2,Appartement,12,1,,,,,,2.35139,48.872726,dvf_2023_75.csv,"nature_mutation != Vente (['Echange', 'Adjudication', ""Vente en l'état futur d'achèvement"", 'Vente terrain à bâtir', 'Expropriation'])"
2023-1340962,2023-06-08,000001,Adjudication,80000.0,11,,VLA COMPOINT,2257,75017,75117,Paris 17e Arrondissement,75,,,75117000DM0183,,,18,,,,,,,,,,1,2,Appartement,12,1,,,,,,2.324847,48.891999,dvf_2023_75.csv,"nature_mutation != Vente (['Echange', 'Adjudication', ""Vente en l'état futur d'achèvement"", 'Vente terrain à bâtir', 'Expropriation'])"
2023-1326717,2023-03-29,000001,Echange,130000.0,16,,RUE DUPETIT-THOUARS,2997,75003,75103,Paris 3e Arrondissement,75,,,75103000AG0064,,,124,,,,,,,,,,1,2,Appartement,12,1,,,,,,2.361793,48.865824,dvf_2023_75.csv,"nature_mutation != Vente (['Echange', 'Adjudication', ""Vente en l'état futur d'achèvement"", 'Vente terrain à bâtir', 'Expropriation'])"
